State,USPS,Region,Population
Oklahoma,OK,South,3959353
Nebraska,NE,Midwest,1961504
Hawaii,HI,West,1455271
South Dakota,SD,Midwest,886667
Tennessee,TN,South,6910840
Nevada,NV,West,3104614
New Mexico,NM,West,2117522
Iowa,IA,Midwest,3190369
Kansas,KS,Midwest,2937880
District of Columbia,DC,South,689545
Texas,TX,South,29145505
Missouri,MO,Midwest,6154913
Arkansas,AR,South,3011524
Michigan,MI,Midwest,10077331
New Hampshire,NH,Northeast,1377529
North Carolina,NC,South,10439388
Ohio,OH,Midwest,11799448
South Carolina,SC,South,5118425
Wyoming,WY,West,576851
California,CA,West,39538223
North Dakota,ND,Midwest,779094
Louisiana,LA,South,4657757
Maryland,MD,South,6177224
Delaware,DE,South,989948
Pennsylvania,PA,Northeast,13002700
Georgia,GA,South,10711908
Oregon,OR,West,4237256
Minnesota,MN,Midwest,5706494
Colorado,CO,West,5773714
New Jersey,NJ,Northeast,9288994
Kentucky,KY,South,4505836
Washington,WA,West,7705281
Maine,ME,Northeast,1362359
Vermont,VT,Northeast,643077
Idaho,ID,West,1839106
Indiana,IN,Midwest,6785528
Montana,MT,West,1084225
New York,NY,Northeast,20201249
Puerto Rico,PR,South,3285874
Connecticut,CT,Northeast,3605944
Florida,FL,South,21538187
Virginia,VA,South,8631393
Massachusetts,MA,Northeast,7029917
Illinois,IL,Midwest,12812508
Mississippi,MS,South,2961279
Arizona,AZ,West,7151502
Utah,UT,West,3271616
Wisconsin,WI,Midwest,5893718
Alabama,AL,South,5024279
West Virginia,WV,South,1793716
Rhode Island,RI,Northeast,1097379
Alaska,AK,West,733391
